No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Supplier Part,Primary Category,Secondary Category,Manufacturer
48,3,9.1kΩ,"R169,R172,R175",R0402,9.1kΩ,0402WGF9101TCE,C25926,,,UNI-ROYAL(厚声)
49,1,4.7kΩ,R176,R0603,4.7kΩ,TC0350F4701T5E,C179829,电阻,贴片电阻,UNI-ROYAL(厚声)
50,1,1.5kΩ,R177,R0402,1.5kΩ,0402WGF1501TCE,C25867,电阻,贴片电阻,UNI-ROYAL(厚声)
51,1,33Ω,RN1,RES-ARRAY-SMD_0402-8P-L2.0-W1.0-BL,33Ω,4D02WGJ0330TCE,C25501,电阻,排阻,UNI-ROYAL(厚声)
52,2,510Ω,"RN4,RN5",RES-ARRAY-SMD_0402-8P-L2.0-W1.0-BL,510Ω,4D02WGJ0511TCE,C425248,电阻,排阻,UNI-ROYAL(厚声)
53,3,PTS815SJK250SMTRLFS,"SW1,SW2,SW3",SW-SMD_4P-L4.2-W3.3-P2.15-LS5.1,,PTS815SJK250SMTRLFS,C918859,按键/开关,轻触开关,C&K
54,2,B3U-1000P,"SW4,SW5",KEY-SMD_B3U-1000PM,,B3U-1000P,C231329,按键/开关,轻触开关,OMRON(欧姆龙)
55,16,Test-Point,"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16",Test-Point-0.5mm,,,,,,
56,1,GD32F303CBT6,U1,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,,GD32F303CBT6,C3013779,单片机/微控制器,单片机(MCU/MPU/SOC),GigaDevice(兆易创新)
57,3,SY8113BADC,"U2,U31,U32",TSOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,,SY8113BADC,C78989,电源芯片,DC-DC电源芯片,silergy(矽力杰)
58,1,gw2a-lv18pg256,U7,FBGA-256_L17.0-W17.0-R16-C16-P1.00-TL-1,,,,,,
59,7,测试点,"U12,U13,U14,U15,U16,U17,U18",测试点0.8mm,,,,,,
60,1,ZX-SH1.0-8PWT,U20,CONN-SMD_8P-P1.00_MEGASTAR_ZX-SH1.0-8PWT,,ZX-SH1.0-8PWT,C7430450,连接器,线对板/线对线连接器,Megastar(兆星)
61,1,TPS51200DRCR,U23,wson-10_l3.0-w3.0-p0.50-bl-ep,,TPS51200DRCR,C34771,电源芯片,DC-DC电源芯片,TI(德州仪器)
62,1,MT41J128M16JT-125-K,U29,fbga-96_l14.0-w9.0-r16-c6-p0.80-tl,,MT41J128M16JT-125-K,C5128616,存储器,DDR SDRAM,micron(镁光)
63,1,W25Q64JVSSIQ,U30,SOP-8_L5.3-W5.3-P1.27-LS8.0-BL,,W25Q64JVSSIQ,C83140,存储器,NOR FLASH,WINBOND(华邦)
64,1,TYPE-C 16PIN 2MD(073),USB2,USB-C-SMD_TYPE-C-6PIN-2MD-073,,TYPE-C 16PIN 2MD(073),C2765186,连接器,USB连接器,SHOU HAN(首韩)
65,1,HDMI-101S,USB3,hdmi-smd_hdmi-101s,,HDMI-101S,C720620,,,XUNPU(讯普)
66,1,8MHz,X1,OSC-SMD_4P-L3.2-W2.5-BL,8MHz,X32258MOB4SI,C2682775,晶振/振荡器/谐振器,无源晶振,YXC(扬兴晶振)
67,1,50MHz,X3,OSC-SMD_4P-L3.2-W2.5-BL,50MHz,OT322550MJBA4SL,C717684,晶振/振荡器/谐振器,有源晶振,YXC(扬兴晶振)
,,,,,,,,,,
